Customer ID,Churn,Account Age (months),Monthly Charges,Total Charges,Support Tickets,Last Login Date,Support Text,Contract Type,Payment Method
CUST001,No,24,29.85,716.40,2,2024-01-15,"I'm having trouble accessing my account","Month-to-month","Electronic check"
CUST002,Yes,12,56.95,683.40,5,2023-11-20,"Service is too slow and expensive","Month-to-month","Mailed check"
CUST003,No,36,53.85,1938.60,1,2024-01-20,"Great service, no complaints","Two year","Credit card (automatic)"
CUST004,Yes,6,42.30,253.80,8,2023-10-05,"Multiple billing issues, very frustrated","Month-to-month","Electronic check"
CUST005,No,48,70.70,3393.60,0,2024-01-18,"Everything works perfectly","Two year","Bank transfer (automatic)"
CUST006,Yes,3,89.10,267.30,12,2023-09-12,"Constant outages, terrible experience","Month-to-month","Electronic check"
CUST007,No,18,49.60,892.80,3,2024-01-19,"Good value for money","One year","Credit card (automatic)"
CUST008,No,30,25.75,772.50,1,2024-01-17,"Satisfied with the service","One year","Mailed check"
CUST009,Yes,9,65.75,591.75,6,2023-11-30,"Price increase is unacceptable","Month-to-month","Electronic check"
CUST010,No,60,89.10,5346.00,0,2024-01-21,"Excellent service for many years","Two year","Bank transfer (automatic)"
CUST011,Yes,2,45.20,90.40,15,2023-08-25,"Worst customer service ever, canceling immediately","Month-to-month","Electronic check"
CUST012,No,15,54.20,813.00,2,2024-01-16,"Happy with the features","One year","Credit card (automatic)"
CUST013,Yes,4,78.70,314.80,9,2023-10-18,"Too many technical problems","Month-to-month","Mailed check"
CUST014,No,42,35.50,1491.00,1,2024-01-20,"Reliable and affordable","Two year","Bank transfer (automatic)"
CUST015,No,27,52.55,1418.85,2,2024-01-18,"Good overall experience","One year","Credit card (automatic)"
CUST016,Yes,7,88.75,621.25,7,2023-11-10,"Not worth the price, switching to competitor","Month-to-month","Electronic check"
CUST017,No,33,24.56,810.48,0,2024-01-19,"Very satisfied customer","One year","Mailed check"
CUST018,Yes,1,95.50,95.50,20,2023-07-15,"Complete disaster, service never worked properly","Month-to-month","Electronic check"
CUST019,No,54,70.35,3798.90,1,2024-01-21,"Best service provider, highly recommend","Two year","Bank transfer (automatic)"
CUST020,No,21,45.30,951.30,3,2024-01-17,"Meets all my needs","One year","Credit card (automatic)"
CUST021,Yes,5,67.45,337.25,10,2023-10-22,"Too expensive for what you get","Month-to-month","Electronic check"
CUST022,No,39,58.20,2269.80,1,2024-01-20,"Great value and support","Two year","Credit card (automatic)"
CUST023,Yes,8,76.20,609.60,6,2023-11-25,"Frequent service interruptions","Month-to-month","Mailed check"
CUST024,No,45,32.45,1460.25,0,2024-01-18,"Excellent quality service","Two year","Bank transfer (automatic)"
CUST025,No,19,61.30,1164.70,2,2024-01-19,"Very happy with everything","One year","Credit card (automatic)"
CUST026,Yes,3,84.75,254.25,11,2023-09-28,"Poor customer support, billing errors","Month-to-month","Electronic check"
CUST027,No,51,73.90,3768.90,1,2024-01-21,"Outstanding service for years","Two year","Bank transfer (automatic)"
CUST028,Yes,6,48.95,293.70,8,2023-10-12,"Not meeting expectations, canceling","Month-to-month","Electronic check"
CUST029,No,28,55.20,1545.60,1,2024-01-17,"Good service, no issues","One year","Credit card (automatic)"
CUST030,No,36,41.30,1486.80,2,2024-01-20,"Satisfied customer","Two year","Mailed check"
CUST031,Yes,2,92.55,185.10,14,2023-08-10,"Terrible experience, multiple complaints","Month-to-month","Electronic check"
CUST032,No,22,50.10,1102.20,1,2024-01-18,"Works well for my needs","One year","Credit card (automatic)"
CUST033,Yes,4,63.40,253.60,7,2023-10-30,"Service quality declined significantly","Month-to-month","Mailed check"
CUST034,No,47,68.75,3231.25,0,2024-01-21,"Very reliable service","Two year","Bank transfer (automatic)"
CUST035,No,16,46.85,749.60,2,2024-01-19,"Happy with the service","One year","Credit card (automatic)"
CUST036,Yes,9,79.25,713.25,5,2023-11-15,"Too many problems, not worth it","Month-to-month","Electronic check"
CUST037,No,40,37.60,1504.00,1,2024-01-20,"Good value proposition","Two year","Mailed check"
CUST038,Yes,1,87.30,87.30,18,2023-07-20,"Worst decision ever, service is awful","Month-to-month","Electronic check"
CUST039,No,29,59.85,1735.65,1,2024-01-17,"Excellent service quality","One year","Credit card (automatic)"
CUST040,No,43,44.20,1900.60,0,2024-01-21,"Very satisfied, will continue","Two year","Bank transfer (automatic)"
CUST041,Yes,5,71.80,359.00,9,2023-10-05,"Price is too high for the service","Month-to-month","Electronic check"
CUST042,No,25,53.15,1328.75,2,2024-01-18,"Good experience overall","One year","Credit card (automatic)"
CUST043,Yes,7,66.45,465.15,6,2023-11-08,"Service interruptions are unacceptable","Month-to-month","Mailed check"
CUST044,No,38,39.50,1501.00,1,2024-01-19,"Reliable and affordable service","Two year","Bank transfer (automatic)"
CUST045,No,20,57.40,1148.00,1,2024-01-20,"Meets expectations well","One year","Credit card (automatic)"
CUST046,Yes,3,81.90,245.70,13,2023-09-15,"Multiple billing issues, very frustrated","Month-to-month","Electronic check"
CUST047,No,50,75.25,3762.50,0,2024-01-21,"Best service provider, highly satisfied","Two year","Bank transfer (automatic)"
CUST048,Yes,8,54.60,436.80,7,2023-11-20,"Not getting value for money","Month-to-month","Electronic check"
CUST049,No,26,48.30,1255.80,2,2024-01-17,"Good service, no complaints","One year","Credit card (automatic)"
CUST050,No,35,62.70,2194.50,1,2024-01-18,"Very happy with everything","Two year","Mailed check"



